episodio,recompensa,passos,sucesso,epsilon
0,-8147.400000000037,300,0,1.0
1,-266.89999999999975,78,1,0.995
2,7.899999999999295,55,1,0.990025
3,-6949.700000000022,300,0,0.985074875
4,-6024.500000000016,262,1,0.9801495006250001
5,-7748.100000000017,300,0,0.9752487531218751
6,-4507.800000000014,268,1,0.9703725093562657
7,-10041.700000000026,300,0,0.9655206468094844
8,-5514.000000000029,270,1,0.960693043575437
9,-6865.80000000001,300,0,0.9558895783575597
10,-740.7999999999987,87,1,0.9511101304657719
11,-9878.70000000002,300,0,0.946354579813443
12,-6435.900000000016,300,0,0.9416228069143757
13,-7455.600000000019,300,0,0.9369146928798039
14,-6218.700000000019,242,1,0.9322301194154049
15,-4527.2000000000035,192,1,0.9275689688183278
16,-1725.7999999999934,174,1,0.9229311239742362
17,-8453.400000000027,300,0,0.918316468354365
18,-1674.6999999999948,147,1,0.9137248860125932
19,-6985.900000000027,300,0,0.9091562615825302
20,-3890.000000000005,207,1,0.9046104802746175
21,-1664.2999999999938,151,1,0.9000874278732445
22,-3242.499999999993,214,1,0.8955869907338783
23,-7449.7000000000335,300,0,0.8911090557802088
24,-1848.0999999999954,131,1,0.8866535105013078
25,-1369.699999999998,107,1,0.8822202429488013
26,-543.299999999998,98,1,0.8778091417340573
27,-4687.4000000000115,246,1,0.8734200960253871
28,266.09999999999957,47,1,0.8690529955452602
29,-4184.900000000007,193,1,0.8647077305675338
30,-2532.0999999999945,160,1,0.8603841919146962
31,-3335.999999999994,192,1,0.8560822709551227
32,-3541.700000000004,201,1,0.851801859600347
33,113.09999999999957,48,1,0.8475428503023453
34,333.39999999999964,40,1,0.8433051360508336
35,-2105.6999999999944,137,1,0.8390886103705794
36,-913.8999999999979,97,1,0.8348931673187264
37,351.99999999999943,50,1,0.8307187014821328
38,-607.0999999999973,81,1,0.8265651079747222
39,239.09999999999945,66,1,0.8224322824348486
40,-1779.799999999993,164,1,0.8183201210226743
41,123.2999999999995,58,1,0.8142285204175609
42,324.8999999999994,46,1,0.810157377815473
43,350.89999999999964,47,1,0.8061065909263957
44,-137.3000000000003,67,1,0.8020760579717637
45,484.8999999999995,37,1,0.798065677681905
46,-2386.499999999994,146,1,0.7940753492934954
47,-63.10000000000048,66,1,0.7901049725470279
48,-295.89999999999975,54,1,0.7861544476842928
49,780.1000000000001,28,1,0.7822236754458713
50,-373.19999999999993,95,1,0.778312557068642
51,745.8,35,1,0.7744209942832988
52,598.2999999999996,39,1,0.7705488893118823
53,598.4999999999999,37,1,0.7666961448653229
54,-44.70000000000084,75,1,0.7628626641409962
55,349.69999999999936,40,1,0.7590483508202912
56,-447.29999999999893,78,1,0.7552531090661897
57,785.8000000000001,27,1,0.7514768435208588
58,167.29999999999916,55,1,0.7477194593032545
59,-705.1999999999979,97,1,0.7439808620067382
60,407.5999999999998,51,1,0.7402609576967045
61,-1737.499999999996,137,1,0.736559652908221
62,612.1999999999999,35,1,0.7328768546436799
63,352.89999999999964,39,1,0.7292124703704616
64,99.39999999999975,52,1,0.7255664080186093
65,-1711.5999999999954,138,1,0.7219385759785162
66,543.3999999999999,43,1,0.7183288830986236
67,-518.7999999999992,80,1,0.7147372386831305
68,514.2999999999997,39,1,0.7111635524897149
69,808.2,23,1,0.7076077347272662
70,-702.9999999999985,85,1,0.7040696960536299
71,161.69999999999948,49,1,0.7005493475733617
72,146.0999999999991,66,1,0.697046600835495
73,-106.10000000000025,84,1,0.6935613678313175
74,-331.99999999999807,93,1,0.6900935609921609
75,147.2999999999994,56,1,0.6866430931872001
76,637.1999999999998,35,1,0.6832098777212641
77,44.399999999999636,45,1,0.6797938283326578
78,-591.8999999999984,62,1,0.6763948591909945
79,672.2,25,1,0.6730128848950395
80,-343.6999999999995,82,1,0.6696478204705644
81,433.6999999999996,39,1,0.6662995813682115
82,-71.90000000000066,51,1,0.6629680834613705
83,-861.1999999999972,99,1,0.6596532430440636
84,803.4,21,1,0.6563549768288433
85,561.5999999999997,32,1,0.653073201944699
86,656.7,34,1,0.6498078359349755
87,606.3999999999999,32,1,0.6465587967553006
88,693.4,31,1,0.6433260027715241
89,650.9999999999998,28,1,0.6401093727576664
90,636.0999999999999,32,1,0.6369088258938781
91,798.2,23,1,0.6337242817644086
92,577.9999999999995,37,1,0.6305556603555866
93,804.0,24,1,0.6274028820538087
94,882.2,21,1,0.6242658676435396
95,954.0,22,1,0.6211445383053219
96,363.09999999999945,63,1,0.6180388156137953
97,114.89999999999964,50,1,0.6149486215357263
98,1004.6,15,1,0.6118738784280476
99,611.3,38,1,0.6088145090359074
100,982.1999999999999,19,1,0.6057704364907278
101,301.39999999999975,39,1,0.6027415843082742
102,715.2,33,1,0.5997278763867329
103,655.1999999999999,34,1,0.5967292370047992
104,661.8999999999999,33,1,0.5937455908197752
105,966.0999999999999,25,1,0.5907768628656763
106,664.2999999999998,36,1,0.5878229785513479
107,794.0000000000001,34,1,0.5848838636585911
108,603.9999999999998,29,1,0.5819594443402982
109,426.8999999999995,45,1,0.5790496471185967
110,205.7999999999996,44,1,0.5761543988830038
111,239.69999999999948,54,1,0.5732736268885887
112,222.19999999999936,50,1,0.5704072587541458
113,681.9999999999998,27,1,0.567555222460375
114,519.1999999999996,37,1,0.5647174463480732
115,121.29999999999927,60,1,0.5618938591163328
116,903.4,19,1,0.5590843898207511
117,270.3999999999994,49,1,0.5562889678716474
118,608.2,27,1,0.5535075230322891
119,84.99999999999909,54,1,0.5507399854171277
120,1003.4,17,1,0.547986285490042
121,853.1000000000001,28,1,0.5452463540625918
122,806.7,23,1,0.5425201222922789
123,524.1999999999998,46,1,0.5398075216808175
124,479.1999999999996,39,1,0.5371084840724134
125,633.5,28,1,0.5344229416520513
126,980.4,26,1,0.531750826943791
127,289.99999999999966,41,1,0.5290920728090721
128,935.8,24,1,0.5264466124450268
129,905.5,23,1,0.5238143793828016
130,643.3999999999996,33,1,0.5211953074858876
131,714.6000000000001,30,1,0.5185893309484582
132,855.2,22,1,0.5159963842937159
133,380.6999999999995,39,1,0.5134164023722473
134,759.9000000000001,31,1,0.510849320360386
135,928.6,26,1,0.5082950737585841
136,418.19999999999993,48,1,0.5057535983897912
137,634.0,28,1,0.5032248303978422
138,411.7999999999994,51,1,0.500708706245853
139,571.7999999999995,51,1,0.4982051627146237
140,851.0,24,1,0.49571413690105054
141,671.0,34,1,0.4932355662165453
142,611.2999999999997,30,1,0.4907693883854626
143,855.5,24,1,0.4883155414435353
144,340.99999999999966,40,1,0.4858739637363176
145,661.3000000000001,29,1,0.483444593917636
146,503.70000000000005,45,1,0.4810273709480478
147,689.4999999999997,35,1,0.47862223409330756
148,1054.6,14,1,0.47622912292284103
149,510.8999999999999,35,1,0.4738479773082268
150,682.1999999999999,25,1,0.47147873742168567
151,433.2999999999997,43,1,0.46912134373457726
152,858.9000000000001,28,1,0.46677573701590436
153,1056.3999999999999,16,1,0.46444185833082485
154,902.2,21,1,0.46211964903917074
155,832.2,22,1,0.4598090507939749
156,784.3,26,1,0.457510005540005
157,951.7,20,1,0.45522245551230495
158,954.0,22,1,0.4529463432347434
159,782.8,26,1,0.4506816115185697
160,805.2,23,1,0.4484282034609769
161,664.6,38,1,0.446186062443672
162,547.3999999999997,32,1,0.4439551321314536
163,950.5,22,1,0.4417353564707963
164,668.1999999999998,35,1,0.43952667968844233
165,904.6,17,1,0.43732904629000013
166,849.8000000000001,24,1,0.4351424010585501
167,852.8000000000001,26,1,0.43296668905325736
168,934.3,24,1,0.43080185560799106
169,911.0,22,1,0.4286478463299511
170,662.8,28,1,0.42650460709830135
171,654.2999999999997,38,1,0.42437208406280985
172,956.6999999999999,20,1,0.4222502236424958
173,834.0,24,1,0.42013897252428334
174,673.0999999999997,38,1,0.4180382776616619
175,1054.6,14,1,0.4159480862733536
176,1032.5,20,1,0.41386834584198684
177,800.1,28,1,0.4117990041127769
178,855.8000000000001,34,1,0.40974000909221303
179,831.3000000000001,26,1,0.40769130904675194
180,1006.4,17,1,0.40565285250151817
181,704.0,27,1,0.4036245882390106
182,839.1000000000001,28,1,0.4016064652978155
183,779.1000000000001,29,1,0.3995984329713264
184,853.7,22,1,0.3976004408064698
185,952.1999999999999,20,1,0.39561243860243744
186,853.7,22,1,0.3936343764094253
187,1054.6,14,1,0.39166620452737816
188,887.6,27,1,0.3897078735047413
189,852.8000000000001,24,1,0.3877593341372176
190,851.4000000000001,20,1,0.3858205374665315
191,1054.6,14,1,0.38389143477919885
192,1053.3999999999999,16,1,0.3819719776053028
193,899.4000000000001,19,1,0.3800621177172763
194,627.4999999999997,28,1,0.37816180712868996
195,1003.4,17,1,0.37627099809304654
196,903.2,21,1,0.3743896431025813
197,936.1000000000001,26,1,0.37251769488706843
198,804.9000000000001,21,1,0.3706551064126331
199,1002.1999999999999,19,1,0.36880183088056995
