episodio,recompensa,passos,sucesso,epsilon
0,625.0999999999998,18,1,1.0
1,-1649.2999999999986,100,0,0.98
2,65.69999999999925,59,1,0.9603999999999999
3,352.09999999999934,52,1,0.9411919999999999
4,-1962.5999999999979,100,0,0.9223681599999999
5,101.09999999999911,64,1,0.9039207967999998
6,463.0999999999997,39,1,0.8858423808639998
7,790.5000000000001,20,1,0.8681255332467198
8,848.7,16,1,0.8507630225817854
9,-94.50000000000045,84,1,0.8337477621301497
10,-137.1000000000006,71,1,0.8170728068875467
11,418.29999999999916,68,1,0.8007313507497957
12,323.6999999999998,75,1,0.7847167237347998
13,840.5,19,1,0.7690223892601038
14,771.3000000000001,31,1,0.7536419414749017
15,876.9,15,1,0.7385691026454037
16,556.4999999999994,61,1,0.7237977205924956
17,708.6999999999998,20,1,0.7093217661806457
18,353.0999999999998,38,1,0.6951353308570327
19,697.7,27,1,0.6812326242398921
20,925.1,12,1,0.6676079717550942
21,10.899999999999068,86,1,0.6542558123199923
22,599.4999999999998,34,1,0.6411706960735924
23,1028.7,14,1,0.6283472821521205
24,926.9000000000001,14,1,0.6157803365090782
25,875.9000000000001,24,1,0.6034647297788965
26,824.1000000000001,23,1,0.5913954351833186
27,805.9000000000001,25,1,0.5795675264796523
28,737.6999999999998,28,1,0.5679761759500592
29,890.5,18,1,0.5566166524310581
30,852.3000000000001,20,1,0.5454843193824369
31,859.5000000000001,28,1,0.5345746329947881
32,975.1,11,1,0.5238831403348924
33,390.2999999999996,47,1,0.5134054775281945
34,876.9000000000001,15,1,0.5031373679776306
35,853.1,32,1,0.493074620618078
36,1025.1,10,1,0.48321312820571644
37,960.5,17,1,0.4735488656416021
38,976.9,13,1,0.46407788832877006
39,755.7,46,1,0.45479633056219465
40,849.5,29,1,0.44570040395095073
41,925.1,12,1,0.4367863958719317
42,990.5,16,1,0.42805066795449304
43,915.9000000000001,23,1,0.41948965459540316
44,895.1,11,1,0.4110998615034951
45,915.9000000000001,24,1,0.4028778642734252
46,1025.1,10,1,0.39482030698795667
47,985.1,10,1,0.38692390084819756
48,953.3,9,1,0.3791854228312336
49,712.3,23,1,0.37160171437460887
50,862.3000000000001,21,1,0.3641696800871167
51,980.5,17,1,0.35688628648537435
52,923.3,10,1,0.34974856075566685
53,980.5,17,1,0.3427535895405535
54,904.1,21,1,0.33589851774974244
55,983.3,8,1,0.3291805473947476
56,367.49999999999966,55,1,0.32259693644685267
57,1028.7,14,1,0.3161449977179156
58,1023.3,8,1,0.3098220977635573
59,980.5,17,1,0.30362565580828615
60,950.5,16,1,0.2975531426921204
61,960.5,17,1,0.291602079838278
62,912.3000000000001,19,1,0.2857700382415124
63,1028.7,14,1,0.2800546374766822
64,1026.9,12,1,0.27445354472714856
65,1023.3,8,1,0.2689644738326056
66,985.1,10,1,0.26358518435595346
67,925.1,12,1,0.25831348066883436
68,1003.3,8,1,0.2531472110554577
69,1023.3,8,1,0.24808426683434853
70,1023.3,8,1,0.24312258149766156
71,1023.3,8,1,0.2382601298677083
72,745.7,47,1,0.23349492727035415
73,976.9,13,1,0.22882502872494706
74,1006.9,12,1,0.22424852815044813
75,1023.3,8,1,0.21976355758743915
76,938.6999999999999,15,1,0.21536828643569036
77,1023.3,8,1,0.21106092070697655
78,1023.3,8,1,0.20683970229283702
79,1028.7,14,1,0.20270290824698028
80,975.1,11,1,0.19864885008204067
81,1005.1,10,1,0.19467587308039985
82,1003.3,8,1,0.19078235561879187
83,1005.1,10,1,0.18696670850641603
84,1006.9,12,1,0.18322737433628772
85,1023.3,8,1,0.17956282684956196
86,1023.3,8,1,0.1759715703125707
87,1008.7,14,1,0.1724521389063193
88,985.9,22,1,0.16900309612819292
89,942.3,19,1,0.16562303420562907
90,973.3,9,1,0.16231057352151648
91,1025.1,10,1,0.15906436205108615
92,883.3,10,1,0.15588307481006441
93,985.1,10,1,0.15276541331386312
94,933.3,9,1,0.14971010504758586
95,1023.3,8,1,0.14671590294663414
96,1026.9,12,1,0.14378158488770146
97,1023.3,8,1,0.14090595318994742
98,940.5,17,1,0.13808783412614847
99,1025.1,10,1,0.13532607744362551
100,982.3,19,1,0.132619555894753
101,1025.1,10,1,0.12996716477685794
102,1026.9,12,1,0.12736782148132078
103,1023.3,8,1,0.12482046505169436
104,1023.3,8,1,0.12232405575066048
105,1028.7,14,1,0.11987757463564727
106,928.7,16,1,0.11748002314293432
107,942.3000000000001,19,1,0.11513042268007563
108,1023.3,8,1,0.11282781422647412
109,923.3000000000001,10,1,0.11057125794194463
110,1026.9,12,1,0.10835983278310574
111,1026.9,12,1,0.10619263612744362
112,975.1,11,1,0.10406878340489474
113,1026.9,12,1,0.10198740773679685
114,1028.7,14,1,0.09994765958206091
115,975.1,11,1,0.0979487063904197
116,976.9,13,1,0.0959897322626113
117,1025.1,10,1,0.09406993761735907
118,1028.7,14,1,0.0921885388650119
119,1025.1,10,1,0.09034476808771166
120,1003.3,8,1,0.08853787272595742
121,1025.1,10,1,0.08676711527143827
122,1023.3,8,1,0.0850317729660095
123,1025.1,10,1,0.08333113750668932
124,1023.3,8,1,0.08166451475655553
125,1023.3,8,1,0.08003122446142442
126,1023.3,8,1,0.07843059997219594
127,985.1,10,1,0.07686198797275202
128,1025.1,10,1,0.07532474821329699
129,1023.3,8,1,0.07381825324903105
130,1023.3,8,1,0.07234188818405042
131,1023.3,8,1,0.07089505042036941
132,985.1,10,1,0.06947714941196202
133,983.3,8,1,0.06808760642372277
134,1023.3,8,1,0.06672585429524831
135,1023.3,8,1,0.06539133720934334
136,1005.1,10,1,0.06408351046515648
137,1003.3,8,1,0.06280184025585335
138,1023.3,8,1,0.061545803450736285
139,1026.9,12,1,0.060314887381721555
140,1023.3,8,1,0.05910858963408712
141,1025.1,10,1,0.05792641784140538
142,1025.1,10,1,0.05676788948457727
143,1025.1,10,1,0.055632531694885724
144,1025.1,10,1,0.054519881060988006
145,1023.3,8,1,0.05342948343976824
146,1023.3,8,1,0.052360893770972874
147,1023.3,8,1,0.05131367589555342
148,1023.3,8,1,0.05028740237764235
149,1023.3,8,1,0.05
