episodio,recompensa,passos,sucesso,epsilon
0,-3590.599999999999,233,1,1.0
1,-12097.000000000036,300,0,0.995
2,-7912.100000000016,300,0,0.990025
3,-8239.100000000035,300,0,0.985074875
4,318.9999999999992,56,1,0.9801495006250001
5,-7125.100000000006,300,0,0.9752487531218751
6,-5974.800000000018,300,0,0.9703725093562657
7,-6519.000000000014,300,0,0.9655206468094844
8,638.7999999999997,35,1,0.960693043575437
9,-2627.299999999987,228,1,0.9558895783575597
10,-3760.700000000004,253,1,0.9511101304657719
11,-6336.500000000021,300,0,0.946354579813443
12,-1969.0999999999926,151,1,0.9416228069143757
13,-350.6999999999981,77,1,0.9369146928798039
14,-239.5999999999989,91,1,0.9322301194154049
15,-3007.699999999993,174,1,0.9275689688183278
16,-618.3999999999988,103,1,0.9229311239742362
17,-813.0999999999968,117,1,0.918316468354365
18,-958.0999999999987,100,1,0.9137248860125932
19,-1373.499999999994,151,1,0.9091562615825302
20,-3223.9999999999923,230,1,0.9046104802746175
21,-4023.3000000000006,233,1,0.9000874278732445
22,-5546.400000000012,300,0,0.8955869907338783
23,533.4999999999997,54,1,0.8911090557802088
24,600.7999999999997,35,1,0.8866535105013078
25,-183.59999999999866,96,1,0.8822202429488013
26,-874.6999999999974,96,1,0.8778091417340573
27,-121.70000000000084,88,1,0.8734200960253871
28,336.39999999999907,59,1,0.8690529955452602
29,-3092.0999999999917,195,1,0.8647077305675338
30,86.39999999999907,69,1,0.8603841919146962
31,602.6999999999992,60,1,0.8560822709551227
32,-3948.3000000000006,243,1,0.851801859600347
33,268.7999999999996,61,1,0.8475428503023453
34,-1312.8999999999965,117,1,0.8433051360508336
35,-2329.4999999999945,171,1,0.8390886103705794
36,-328.69999999999925,89,1,0.8348931673187264
37,529.7999999999994,45,1,0.8307187014821328
38,-2877.7999999999897,253,1,0.8265651079747222
39,-719.3999999999966,109,1,0.8224322824348486
40,-1836.7999999999943,166,1,0.8183201210226743
41,-334.7999999999987,95,1,0.8142285204175609
42,802.0,39,1,0.810157377815473
43,-467.1999999999981,104,1,0.8061065909263957
44,97.0999999999998,53,1,0.8020760579717637
45,64.79999999999916,72,1,0.798065677681905
46,-522.1999999999995,80,1,0.7940753492934954
47,-519.0999999999991,140,1,0.7901049725470279
48,146.29999999999927,77,1,0.7861544476842928
49,41.69999999999959,65,1,0.7822236754458713
50,905.5,27,1,0.778312557068642
51,436.09999999999945,49,1,0.7744209942832988
52,412.89999999999907,72,1,0.7705488893118823
53,80.599999999999,86,1,0.7666961448653229
54,204.79999999999927,65,1,0.7628626641409962
55,1060.8,27,1,0.7590483508202912
56,49.69999999999948,66,1,0.7552531090661897
57,-1614.399999999997,114,1,0.7514768435208588
58,141.99999999999943,60,1,0.7477194593032545
59,-1448.0999999999917,189,1,0.7439808620067382
60,483.7999999999996,53,1,0.7402609576967045
61,-827.9999999999947,193,1,0.736559652908221
62,1041.2,42,1,0.7328768546436799
63,1209.3,23,1,0.7292124703704616
64,864.6,22,1,0.7255664080186093
65,485.89999999999964,43,1,0.7219385759785162
66,-420.99999999999875,89,1,0.7183288830986236
67,340.9999999999998,81,1,0.7147372386831305
68,362.1999999999997,51,1,0.7111635524897149
69,139.59999999999923,52,1,0.7076077347272662
70,572.8999999999995,49,1,0.7040696960536299
71,380.59999999999945,68,1,0.7005493475733617
72,794.5999999999999,54,1,0.697046600835495
73,875.1000000000001,55,1,0.6935613678313175
74,540.0,53,1,0.6900935609921609
75,-721.0999999999968,101,1,0.6866430931872001
76,-384.6999999999997,92,1,0.6832098777212641
77,984.6,30,1,0.6797938283326578
78,876.1,30,1,0.6763948591909945
79,875.8000000000001,40,1,0.6730128848950395
80,85.5999999999998,65,1,0.6696478204705644
81,906.3,29,1,0.6662995813682115
82,804.6000000000001,33,1,0.6629680834613705
83,1244.3,23,1,0.6596532430440636
84,979.4,43,1,0.6563549768288433
85,1018.5,46,1,0.653073201944699
86,849.4000000000001,44,1,0.6498078359349755
87,805.4000000000001,31,1,0.6465587967553006
88,439.59999999999957,47,1,0.6433260027715241
89,574.0999999999996,47,1,0.6401093727576664
90,1194.0,22,1,0.6369088258938781
91,775.0000000000001,41,1,0.6337242817644086
92,1062.8999999999999,42,1,0.6305556603555866
93,986.5,35,1,0.6274028820538087
94,933.8,38,1,0.6242658676435396
95,354.49999999999955,58,1,0.6211445383053219
96,518.6999999999996,44,1,0.6180388156137953
97,693.1000000000001,56,1,0.6149486215357263
98,838.4999999999998,30,1,0.6118738784280476
99,614.6999999999996,50,1,0.6088145090359074
100,941.5000000000001,27,1,0.6057704364907278
101,352.2999999999997,61,1,0.6027415843082742
102,940.7,33,1,0.5997278763867329
103,971.7000000000002,36,1,0.5967292370047992
104,394.8999999999994,58,1,0.5937455908197752
105,188.99999999999943,80,1,0.5907768628656763
106,474.0999999999998,49,1,0.5878229785513479
107,460.0999999999999,49,1,0.5848838636585911
108,914.0,35,1,0.5819594443402982
109,1210.8,24,1,0.5790496471185967
110,640.8999999999999,61,1,0.5761543988830038
111,777.3999999999995,46,1,0.5732736268885887
112,888.2,36,1,0.5704072587541458
113,683.6999999999999,58,1,0.567555222460375
114,1091.1,29,1,0.5647174463480732
115,176.99999999999966,58,1,0.5618938591163328
116,1060.8,37,1,0.5590843898207511
117,980.1999999999999,33,1,0.5562889678716474
118,1168.5,34,1,0.5535075230322891
119,880.4000000000001,33,1,0.5507399854171277
120,1107.5,23,1,0.547986285490042
121,726.9999999999999,31,1,0.5452463540625918
122,734.5999999999998,34,1,0.5425201222922789
123,854.8000000000001,49,1,0.5398075216808175
124,828.0,49,1,0.5371084840724134
125,895.9000000000001,51,1,0.5344229416520513
126,942.3000000000001,30,1,0.531750826943791
127,954.0,36,1,0.5290920728090721
128,970.2,34,1,0.5264466124450268
129,1057.6,28,1,0.5238143793828016
130,534.5999999999997,47,1,0.5211953074858876
131,787.8000000000002,40,1,0.5185893309484582
132,1140.3,26,1,0.5159963842937159
133,921.0999999999999,32,1,0.5134164023722473
134,835.6,43,1,0.510849320360386
135,1277.0,21,1,0.5082950737585841
136,1041.1,30,1,0.5057535983897912
137,544.7999999999997,74,1,0.5032248303978422
138,894.0,26,1,0.500708706245853
139,1178.2,21,1,0.4982051627146237
140,811.4,35,1,0.49571413690105054
141,859.1,34,1,0.4932355662165453
142,1293.5,21,1,0.4907693883854626
143,791.8000000000001,48,1,0.4883155414435353
144,1185.5,32,1,0.4858739637363176
145,682.5999999999995,46,1,0.483444593917636
146,1257.9,27,1,0.4810273709480478
147,990.8,26,1,0.47862223409330756
148,1176.4,29,1,0.47622912292284103
149,1029.8999999999999,21,1,0.4738479773082268
150,968.7,34,1,0.47147873742168567
151,1052.2,31,1,0.46912134373457726
152,1043.5,26,1,0.46677573701590436
153,1214.6,15,1,0.46444185833082485
154,949.6,41,1,0.46211964903917074
155,738.1999999999997,39,1,0.4598090507939749
156,876.3000000000001,34,1,0.457510005540005
157,1225.8,24,1,0.45522245551230495
158,1083.3,36,1,0.4529463432347434
159,1141.1,28,1,0.4506816115185697
160,1124.6,28,1,0.4484282034609769
161,799.0999999999998,44,1,0.446186062443672
162,870.2,46,1,0.4439551321314536
163,947.5,37,1,0.4417353564707963
164,961.7,35,1,0.43952667968844233
165,866.0999999999999,43,1,0.43732904629000013
166,771.1,35,1,0.4351424010585501
167,1105.2,32,1,0.43296668905325736
168,1128.7,21,1,0.43080185560799106
169,850.5000000000001,38,1,0.4286478463299511
170,1122.0,23,1,0.42650460709830135
171,1142.3,26,1,0.42437208406280985
172,1034.6,29,1,0.4222502236424958
173,1077.8999999999999,40,1,0.42013897252428334
174,1089.4,32,1,0.4180382776616619
175,1221.1,26,1,0.4159480862733536
176,1125.8,26,1,0.41386834584198684
177,1179.9,18,1,0.4117990041127769
178,1144.6000000000001,38,1,0.40974000909221303
179,1043.2,41,1,0.40769130904675194
180,987.3000000000001,37,1,0.40565285250151817
181,1277.0,21,1,0.4036245882390106
182,1020.0,34,1,0.4016064652978155
183,1100.7,33,1,0.3995984329713264
184,1213.4,17,1,0.3976004408064698
185,1215.0,32,1,0.39561243860243744
186,647.5999999999997,46,1,0.3936343764094253
187,1193.8,23,1,0.39166620452737816
188,1203.1,25,1,0.3897078735047413
189,1063.3999999999999,20,1,0.3877593341372176
190,1044.0,24,1,0.3858205374665315
191,1112.0,24,1,0.38389143477919885
192,1027.0,34,1,0.3819719776053028
193,1010.5,36,1,0.3800621177172763
194,1044.6,40,1,0.37816180712868996
195,1079.0,23,1,0.37627099809304654
196,884.7,37,1,0.3743896431025813
197,1012.2,33,1,0.37251769488706843
198,1277.0,21,1,0.3706551064126331
199,835.8000000000001,31,1,0.36880183088056995
