episodio,recompensa,passos,sucesso,epsilon
0,-230.6999999999996,68,1,1.0
1,-528.2999999999979,60,1,0.9997
2,-1908.8999999999983,100,0,0.9994000900000001
3,-491.69999999999663,79,1,0.999100269973
4,253.0999999999998,41,1,0.9988005398920082
5,-2221.4999999999995,100,0,0.9985008997300406
6,-613.0999999999985,88,1,0.9982013494601216
7,-1437.7999999999988,100,0,0.9979018890552837
8,-1971.4999999999973,79,1,0.9976025184885671
9,-3091.100000000001,96,1,0.9973032377330205
10,611.2999999999996,33,1,0.9970040467617006
11,677.6999999999998,28,1,0.9967049455476722
12,-28.500000000000455,73,1,0.9964059340640079
13,706.6999999999999,37,1,0.9961070122837887
14,-1896.0999999999974,100,0,0.9958081801801036
15,-1325.7999999999988,100,0,0.9955094377260496
16,667.6999999999998,31,1,0.9952107848947318
17,396.4999999999993,63,1,0.9949122216592634
18,-1196.0000000000002,100,0,0.9946137479927657
19,-1429.6999999999975,100,0,0.9943153638683679
20,-1923.5999999999967,100,0,0.9940170692592074
21,236.69999999999936,48,1,0.9937188641384297
22,-1158.1999999999994,100,0,0.9934207484791882
23,-370.4999999999968,100,1,0.9931227222546445
24,-1333.4999999999973,93,1,0.9928247854379681
25,-1631.8999999999985,100,0,0.9925269380023368
26,-199.09999999999945,88,1,0.9922291799209362
27,-1412.3999999999994,100,0,0.9919315111669599
28,-1981.4999999999964,100,0,0.9916339317136098
29,460.49999999999966,27,1,0.9913364415340957
30,-1553.5999999999958,100,0,0.9910390406016355
31,-133.7000000000005,95,1,0.990741728889455
32,-1453.4999999999995,100,0,0.9904445063707882
33,-1685.099999999999,100,0,0.990147373018877
34,-440.8999999999992,97,1,0.9898503288069713
35,-1333.8999999999974,100,0,0.9895533737083293
36,870.5,18,1,0.9892565076962169
37,-1747.4999999999964,100,0,0.9889597307439081
38,197.49999999999955,59,1,0.988663042824685
39,-1958.5999999999954,100,0,0.9883664439118376
40,-1797.9999999999984,100,0,0.988069933978664
41,-1280.2999999999997,100,0,0.9877735129984705
42,-1479.6999999999985,100,0,0.9874771809445709
43,-1671.3999999999985,100,0,0.9871809377902876
44,245.69999999999948,56,1,0.9868847835089506
45,-1306.0999999999967,84,1,0.9865887180738979
46,-178.5000000000009,74,1,0.9862927414584758
47,-1803.199999999997,100,0,0.9859968536360383
48,-1401.4999999999989,100,0,0.9857010545799475
49,421.29999999999984,38,1,0.9854053442635735
50,352.0999999999998,52,1,0.9851097226602945
51,807.7,27,1,0.9848141897434964
52,-1272.099999999999,100,0,0.9845187454865735
53,-1006.4000000000012,100,0,0.9842233898629276
54,156.4999999999992,67,1,0.9839281228459688
55,-1265.6999999999998,100,0,0.983632944409115
56,144.49999999999943,42,1,0.9833378545257923
57,-1642.8000000000009,100,0,0.9830428531694345
58,-422.8999999999987,64,1,0.9827479403134837
59,505.69999999999936,52,1,0.9824531159313896
60,-748.4999999999982,86,1,0.9821583799966103
61,269.0999999999989,81,1,0.9818637324826113
62,-2372.699999999996,100,0,0.9815691733628665
63,-348.10000000000014,85,1,0.9812747026108577
64,-1746.1999999999966,100,0,0.9809803202000744
65,-1554.599999999998,100,0,0.9806860261040145
66,289.29999999999905,60,1,0.9803918202961833
67,-476.29999999999563,86,1,0.9800977027500946
68,-1070.4000000000015,100,0,0.9798036734392696
69,-1563.2999999999988,100,0,0.9795097323372378
70,-237.09999999999945,69,1,0.9792158794175366
71,-1434.8999999999996,100,0,0.9789221146537114
72,676.8999999999997,19,1,0.9786284380193153
73,-2326.0999999999967,100,0,0.9783348494879096
74,-1551.7999999999963,100,0,0.9780413490330633
75,-2421.8999999999946,100,0,0.9777479366283534
76,-1479.2999999999981,100,0,0.9774546122473649
77,823.3000000000001,12,1,0.9771613758636907
78,-1302.3999999999994,100,0,0.9768682274509316
79,-1532.5999999999983,100,0,0.9765751669826963
80,728.7,20,1,0.9762821944326016
81,-1646.4999999999977,100,0,0.9759893097742718
82,-1609.2999999999993,100,0,0.9756965129813395
83,115.49999999999909,82,1,0.9754038040274452
84,695.9000000000001,28,1,0.975111182886237
85,323.09999999999945,44,1,0.9748186495313712
86,-21.90000000000157,98,1,0.9745262039365118
87,-40.900000000000546,40,1,0.9742338460753309
88,923.3000000000001,10,1,0.9739415759215083
89,-1491.4999999999986,100,0,0.9736493934487319
90,-2162.2999999999975,100,0,0.9733572986306973
91,484.89999999999964,41,1,0.9730652914411081
92,-311.6999999999989,79,1,0.9727733718536757
93,-2306.499999999995,100,0,0.9724815398421197
94,-1557.7999999999968,100,0,0.9721897953801671
95,348.49999999999966,46,1,0.9718981384415531
96,-1100.1000000000006,100,0,0.9716065690000207
97,-533.499999999998,82,1,0.9713150870293208
98,-1529.2999999999997,100,0,0.9710236925032121
99,-1230.6000000000004,100,0,0.9707323853954611
100,71.09999999999934,66,1,0.9704411656798425
101,-319.09999999999945,94,1,0.9701500333301386
102,663.0999999999999,35,1,0.9698589883201396
103,-1969.799999999997,100,0,0.9695680306236436
104,-1170.2999999999997,100,0,0.9692771602144565
105,-1464.1999999999975,100,0,0.9689863770663922
